"age","WageS","WWa","Survive","surv","B","Q","NageS"
0,0,0,1,0.912409235273078,0,0,3.30188965258789
1,8.01606089152102e-07,8.62886520759627e-05,0.912409235273078,0.912409235273078,7.31392798793512e-07,7.87305630533739e-05,3.0126746128738
2,6.32403244691244e-06,0.000341962693873332,0.832490612611603,0.912409235273078,5.26469764590579e-06,0.000284680732512924,2.7487921396588
3,2.10482828478607e-05,0.000762305157693716,0.759572123224968,0.912409235273078,1.59876888929892e-05,0.000579025747174761,2.50802333407073
4,4.92027762552302e-05,0.0013426991446285,0.693040620086442,0.912409235273078,3.40995225658992e-05,0.000930545047782867,2.28834365228651
5,9.47730792027169e-05,0.00207862709043521,0.63233666218625,0.912409235273078,5.99284925681591e-05,0.00131439211629572,2.08790588182474
6,0.000161511331717954,0.00296566910361206,0.576949810380487,0.912409235273078,9.31839322089735e-05,0.00171104222698024,1.90502460895787
7,0.000252945364570441,0.00399950115707162,0.526414335280207,0.912409235273078,0.000133154065952558,0.00210539474305228,1.73816204663565
8,0.00037238751432578,0.00517589325157,0.480305301089799,0.912409235273078,0.000178859697190326,0.00248600896660399,1.58591510375152
9,0.000522943144340812,0.00649070758603688,0.438234992464949,0.912409235273078,0.000229171984919792,0.00284445519005906,1.44700358702195
10,0.000707518880223001,0.0079398967482658,0.399849654344847,0.912409235273078,0.00028290117969962,0.00317476497032786,1.32025943627209
11,0.000928830568292569,0.0095195019318554,0.364826517344987,0.912409235273078,0.000338862021433743,0.00347296673665768,1.20461690261109
12,0.00118941096546326,0.0112256511821435,0.33287108369808,0.912409235273078,0.000395920517036136,0.00373669467421675,1.09910358690841
13,0.00149161716877822,0.0130545576724013,0.303714650921485,0.912409235273078,0.000453025987723971,0.00396486042640776,1.00283226321699
14,0.00183763779263327,0.0150025180107976,0.277112052388502,0.912409235273078,0.000509231580263283,0.0041573785569676,0.914993418388988
15,0.00222949990150625,0.0170659105782338,0.252839595804746,0.912409235273078,0.000563705853943562,0.00431493793264059,0.834848445152196
16,0.00266907570579389,0.0192411938969094,0.230693182254963,0.912409235273078,0.000615737568249003,0.0044388122504628,0.761723431410233
17,0.0031580890281424,0.0215249050293406,0.210486590003963,0.912409235273078,0.000664735390462624,0.00453070385978506,0.695003493542596
18,0.00369812154744457,0.0239136580074671,0.192049908620754,0.912409235273078,0.000710223905255171,0.00459261583512202,0.634127606055317
19,0.00429061882746754,0.0264041422914292,0.175228110258927,0.912409235273078,0.000751837028978508,0.00462674795673495,0.57858388410648
20,0.00493689613687099,0.0289931212575653,0.159879746079694,0.912409235273078,0.000789309700784755,0.00463541286471731,0.52790527923892
21,0.00563814406717613,0.0316774307151602,0.145875756856227,0.912409235273078,0.000822468533063766,0.0046209691808347,0.481665652127004
22,0.00639543395505164,0.0344539774514642,0.133098387758072,0.912409235273078,0.000851221948430602,0.00458576885064285,0.439476189314508
23,0.00720972311509357,0.0373197378044965,0.121440198190422,0.912409235273078,0.000875550203995029,0.00453211635539264,0.400982133813176
24,0.00808185988909203,0.0402717562631461,0.110803158362334,0.912409235273078,0.000895495601153259,0.00446223778675469,0.365859802070647
25,0.00901258851759904,0.0433071440940842,0.101097824987219,0.912409235273078,0.000911153096634046,0.00437825807432,0.333813862224439
26,0.0100025538394374,0.0464230779950069,0.0922425891843598,0.912409235273078,0.000922661464605667,0.00428218491216691,0.304574850755753
27,0.0110523058246222,0.0496167987737271,0.0841629902573104,0.912409235273078,0.000930195107438492,0.00417589815179212,0.277896906661468
28,0.012162303946001,0.0528856100526463,0.0767910895789681,0.912409235273078,0.000933956571803998,0.00406114361899113,0.253555704091744
29,0.0133329213947617,0.0562268769981377,0.0700648993185327,0.912409235273078,0.000934169795145888,0.00393953047587004,0.231346566069475
30,0.0145644491447991,0.0596380250743812,0.0639278612067076,0.912409235273078,0.000931074083480867,0.00381253138959719,0.211082743430502
31,0.015857099870783,0.0631165388211966,0.0583283709562555,0.912409235273078,0.000924918803553424,0.00368148488983766,0.192593844512768
32,0.0172110117246242,0.0666599606554309,0.0532193443389215,0.912409235273078,0.000915958759393989,0.00354759939974033,0.175724402390197
33,0.0186262519748911,0.0702658896954581,0.04855782127001,0.912409235273078,0.000904450214326933,0.00341195851321029,0.160332567603658
34,0.0201028205135955,0.0739319806083623,0.0443046045714966,0.912409235273078,0.000890647513626617,0.00327552716604104,0.146288915396623
35,0.0216406532346274,0.0776559424793785,0.0404239303761553,0.912409235273078,0.000874800259651097,0.00313915841208112,0.13347535742596
36,0.0232396252879942,0.0814355377031748,0.03688316740124,0.912409235273078,0.000857150989839179,0.00300360056951619,0.121784148796821
37,0.024899554213889,0.0852685808965662,0.0336525425630143,0.912409235273078,0.000837933307982982,0.00286950454790952,0.11111698207209
38,0.0266202029604936,0.089152937832258,0.0307048906249146,0.912409235273078,0.000817370420314982,0.00273743120502929,0.101384160638248
39,0.0284012827893,0.0930865243932221,0.0280154257742218,0.912409235273078,0.000795674029876317,0.0026078586147186,0.092503844476747
40,0.0302424560716231,0.0970673055473203,0.0255615332065074,0.912409235273078,0.000773043545121135,0.00248118915401403,0.0844013619988485
41,0.0321433389798597,0.101093294341791,0.0233225789653568,0.912409235273078,0.000749665561568009,0.00235775634015448,0.0770085821573755
42,0.0341035040769457,0.105162550917228,0.0212797364383772,0.912409235273078,0.000725713578382526,0.00223783136670604,0.070263341555675
43,0.0361224828073542,0.10927318154068,0.0194158280505524,0.912409235273078,0.000701347914946624,0.00212162930333064,0.0641089217365445
44,0.0381997678928765,0.113423337657513,0.0177151808237981,0.912409235273078,0.000676715795649423,0.00200931493624155,0.0584935722558222
