"age","WageS","WWa","Survive","surv","B","Q","NageS"
0,0,0,1,0.844649666599874,0,0,23.433768906819
1,1.73231171845286e-06,0.000144233062254505,0.844649666599874,0.844649666599874,1.46319651543826e-06,0.000121826407945946,19.7933250943232
2,1.36105994155908e-05,0.000570035558627185,0.713433059287278,0.844649666599874,9.71025157979856e-06,0.000406682212493926,16.718425441823
3,4.51153524813806e-05,0.00126726785135499,0.602600995668328,0.844649666599874,2.71865563252075e-05,0.000763656869004979,14.1212124755107
4,0.000105033589309416,0.00222607030154843,0.508986730084005,0.844649666599874,5.34607031715858e-05,0.00113304024372225,11.9274774094261
5,0.000201493433643518,0.00343685818867904,0.429915471869215,0.844649666599874,8.66251446034015e-05,0.00147755850993352,10.0745398172492
6,0.000341997243197669,0.00489031518025412,0.36312795998046,0.844649666599874,0.000124188761241311,0.00177581017506715,8.50945669778673
7,0.000533453322867247,0.00657738666428052,0.306715910330588,0.844649666599874,0.000163618621542104,0.00201738913833107,7.18750976273162
8,0.000782206272344338,0.00848927314110386,0.259067491401608,0.844649666599874,0.00020264421673485,0.00219929469648882,6.0709277247746
9,0.00109406602006093,0.0106174237312026,0.218821270239234,0.844649666599874,0.000239404916235315,0.00232331814752995,5.1278070786828
10,0.00147433559477176,0.0129535298189187,0.18482731295253,0.844649666599874,0.000272497486371935,0.00239416610968121,4.3312005393979
11,0.00192783768470957,0.015489518839354,0.156114328263905,0.844649666599874,0.000300963085150276,0.00241813582873685,3.65834709157963
12,0.00245894003261809,0.0182175482103931,0.13186191531957,0.844649666599874,0.000324240542356988,0.00240220079944905,3.09002165120935
13,0.00307157971326961,0.0211299994093711,0.111377122811896,0.844649666599874,0.000342103710951358,0.00235339853923282,2.60998575748037
14,0.0037692863383731,0.0242194721926891,0.0940746496499211,0.844649666599874,0.000354594291712683,0.00227843836123323,2.20452359988622
15,0.00455520423210725,0.0274787789560429,0.0794601214623058,0.844649666599874,0.000361957081568852,0.00218346711348302,1.86205012365545
16,0.00543211361888404,0.0309009392325926,0.0671159651011221,0.844649666599874,0.000364581548070352,0.00207394635912658,1.57278001613783
17,0.00640245086336809,0.0344791743262221,0.0566894775461916,0.844649666599874,0.0003629515944595,0.00195460637877759,1.32844811626576
18,0.00746832780124947,0.038206902076954,0.0478827483091117,0.844649666599874,0.00035760406039717,0.00182945147582167,1.1220732584991
19,0.00863155019779147,0.0420777317555563,0.0404441473951769,0.844649666599874,0.000349095688448347,0.00170179798517644,0.947758803691903
20,0.00989363536975177,0.0460854590843789,0.0341611356132523,0.844649666599874,0.00033797781957416,0.00157433161758046,0.800524157555461
21,0.0112558290049026,0.0502240613814836,0.0288541918064067,0.844649666599874,0.000324777849047574,0.00144917470039807,0.676162462784365
22,0.0127191212120533,0.0544876928251697,0.0243716834892902,0.844649666599874,0.000309986396442081,0.0013279568035967,0.571120398758164
23,0.0142842618332057,0.0588706798360387,0.0205855343337066,0.844649666599874,0.000294049162399112,0.00121188440101343,0.48239665439947
24,0.0159517750482436,0.0633675165738005,0.0173875647117456,0.965605416257566,0.000277362520918545,0.00110180679504957,0.407456173307407
25,0.0177219733013802,0.0679728605460696,0.0167895266611904,0.965605416257566,0.000297543543232429,0.00114123215437562,0.393441887833214
26,0.0195949705774465,0.0726815283264621,0.0162120578804463,0.965605416257566,0.000317674797167205,0.0011783171440679,0.379909617874353
27,0.0215706950550113,0.0774884913793591,0.0156544508980401,0.965605416257566,0.000337677386575271,0.00121303978346138,0.366842784707818
28,0.0236489011622696,0.0823888719887596,0.0151160225756857,0.965605416257566,0.000357477323859027,0.00124539204896737,0.354225379828878
29,0.0258291810606213,0.087377939288705,0.0145961132713537,0.965605416257566,0.000377005652467133,0.00127537829927541,0.342041945338658
30,0.0281109755798861,0.0924511053928133,0.0140940860311281,0.965605416257566,0.000396198508241856,0.0013030138330792,0.330277555006283
31,0.0304935846281636,0.0976039216205165,0.0136093258088574,0.965605416257566,0.000414997128284644,0.00132832356955579,0.318917795982373
32,0.0329761770984402,0.102832074817654,0.0131412387126466,0.965605416257566,0.000433347815081113,0.00135134084249553,0.307948751141505
33,0.035557800293179,0.108131383769128,0.0126892512772652,0.965605416257566,0.000451201862786962,0.00137210629960485,0.29735698203199
34,0.0382373888872877,0.113497795701371,0.0122528097615805,0.965605416257566,0.000468515451815508,0.00139066689908763,0.287129512412094
35,0.041013773449059,0.118927382872457,0.0118313794701557,0.965605416257566,0.000485249517178814,0.00140707499615654,0.277253812352512
36,0.0438856885379006,0.124416339247699,0.0114244440981809,0.965605416257566,0.000501369595411424,0.00142138751263565,0.267717782885644
37,0.0468517803969269,0.129960977258655,0.0110315050989353,0.965605416257566,0.000516845654342896,0.00143366518329147,0.258509741182846
38,0.0499106142577702,0.135557724643519,0.0106520810730049,0.965605416257566,0.000531651909477241,0.00144397187297484,0.249618406241497
39,0.0530606812742763,0.141203121366889,0.0102857071785082,0.965605416257566,0.000545766630279361,0.00145237395907117,0.241032885064371
40,0.056300405101089,0.146893816616983,0.00993193456160687,0.965605416257566,0.000559171939255973,0.00145893977414455,0.232742659314345
41,0.0596281481324884,0.152626565878417,0.00959032980660331,0.965605416257566,0.000571853606347561,0.00146373910402329,0.224737572428121
42,0.063042217416235,0.158398228078682,0.00926047440495254,0.965605416257566,0.000583800840814498,0.00146684273691247,0.21700781717317
43,0.0665408702565815,0.164205762806524,0.00894196424253674,0.965605416257566,0.000595006082501628,0.0014683220594344,0.209543923632645
44,0.0701223195200448,0.170046227600469,0.00863440910457496,0.965605416257566,0.000605464794097789,0.00146824869579212,0.202336747603544
45,0.0737847386569896,0.175916775305774,0.00833743219756123,0.965605416257566,0.000615175255767426,0.0014666941865255,0.195377459393922
46,0.0775262664515431,0.181814651498121,0.00805066968764535,0.965605416257566,0.000624138363317754,0.00146372970358572,0.188657533005414
47,0.0813450115118618,0.187737191972426,0.00777377025489096,0.965605416257566,0.000632357430874673,0.001459425798692,0.182168735687818
48,0.0852390565122828,0.193681820295166,0.00750639466286467,0.965605416257566,0.00063983799887142,0.00145385218215755,0.175903117852951
49,0.0892064621984253,0.199646045418657,0.00724821534302901,0.965605416257566,0.000646587648003964,0.00144707752957858,0.169853003335402
50,0.0932452711658603,0.205627459355774,0.00699891599343001,0.965605416257566,0.000652615819674458,0.0014391693139735,0.164010979988279
51,0.0973535114225352,0.211623734913618,0.00675819119118773,0.965605416257566,0.000657933643326971,0.00143019366113946,0.158369890602393
52,0.101529199744723,0.217632623484697,0.00652574601831504,0.965605416257566,0.000662553770976842,0.00142021522616072,0.152922824137789
53,0.105770344835872,0.223651952894185,0.00630129570040625,0.965605416257566,0.000666490219144765,0.00140929708915959,0.147663107256853
54,0.110074950297335,0.229679625301905,0.00608456525775279,0.965605416257566,0.00066975821832803,0.00139750066852565,0.142584296148639
55,0.114441017419619,0.235713615157673,0.00587528916845871,0.965605416257566,0.000672374070072884,0.00138488564999412,0.137680168634399
56,0.118866547802397,0.2417519672087,0.00567321104314315,0.965605416257566,0.000674355011652864,0.00137150993006998,0.13294471654463
57,0.123349545811226,0.24779279455776,0.00547808331083126,0.965605416257566,0.000675719088307095,0.00135742957241111,0.128372138358322
58,0.127888020878561,0.253834276770889,0.00528966691564885,0.965605416257566,0.000676485032949136,0.00134269877589262,0.123956832095361
59,0.132479989656355,0.259874658033378,0.00510773102394899,0.965605416257566,0.000676672153220205,0.00132736985317522,0.119693388453411
60,0.137123478027219,0.265912245352886,0.00493205274151195,0.965605416257566,0.000676300225729797,0.0013114932186943,0.115576584180834
61,0.141816522980843,0.271945406808497,0.00476241684047192,0.965605416257566,0.000675389397301141,0.00129511738507377,0.111601375677562
62,0.146557174362086,0.277972569844596,0.00459861549563593,0.965605416257566,0.000673960093018106,0.0012782889670491,0.107762892816049
63,0.151343496496873,0.283992219608456,0.00444044802987203,0.965605416257566,0.000672032930853483,0.00126105269205935,0.104056432974761
64,0.156173569701797,0.290002897330462,0.00428772066825467,0.965605416257566,0.000669628642645507,0.00124345141673756,0.100477455276872
65,0.161045491683064,0.296003198745901,0.00414024630066622,0.965605416257566,0.000666768001179777,0.00122552614859308,0.0970215750271246
66,0.165957378830166,0.301991772557318,0.00399784425256366,0.965605416257566,0.000663471753126707,0.00120731607223978,0.0936845583400314
67,0.170907367409481,0.307967318936411,0.00386034006362965,0.965605416257566,0.000659760557580291,0.00118885857957884,0.0904623169528323
68,0.175893614662732,0.313928588064502,0.00372756527403687,0.965605416257566,0.000655654929941621,0.00117018930339666,0.0873509032168635
69,0.180914299815058,0.31987437871062,0.00359935721806362,0.965605416257566,0.000651175190890253,0.00115134215388569,0.0843465052611939
70,0.185967624997233,0.325803536846275,0.003475558824808,0.965605416257566,0.000646341420187717,0.00113234935763973,0.0814454423226062
71,0.191051816086387,0.331714954295998,0.00335601842575638,0.965605416257566,0.000641173415060134,0.00111324149871631,0.0786441602362018
72,0.196165123469375,0.337607567422789,0.00324058956897056,0.965605416257566,0.000635690652910679,0.00109404756139581,0.0759392270811043
73,0.201305822732788,0.343480355847566,0.00312913083966574,0.965605416257566,0.000629912258117453,0.00107479497430198,0.0733273289759276
74,0.206472215283403,0.349332341201818,0.00302150568695983,0.965605416257566,0.000623856972677997,0.00105550965558028,0.0708052660188561
